Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
891,-2.67E-03,8.45E-04,4.85E-04,3.82E+00
892,-1.11E-03,-4.63E-04,2.57E-03,8.37E+00
893,-2.27E-03,1.13E-03,-1.28E-03,2.04E+00
894,1.75E-03,2.03E-03,-9.60E-04,1.51E+00
895,-2.67E-03,7.25E-04,6.24E-04,4.09E+00
896,-2.35E-03,-8.44E-04,-1.33E-03,1.57E+00
897,-1.85E-03,-3.09E-04,2.13E-03,8.80E+00
898,-1.75E-03,4.59E-04,2.19E-03,9.46E+00
899,-2.30E-03,9.53E-04,-1.37E-03,1.80E+00
900,-2.69E-03,8.72E-04,3.01E-04,3.45E+00
901,1.78E-03,1.75E-03,-1.37E-03,1.73E+00
902,-2.46E-05,4.27E-04,2.81E-03,2.45E+00
903,-8.02E-05,5.89E-04,2.78E-03,2.46E+00
904,-6.88E-04,-4.89E-04,2.71E-03,5.42E+00
905,-2.12E-03,1.52E-03,-1.13E-03,2.47E+00
906,1.82E-03,-1.92E-03,-9.94E-04,1.52E+00
907,1.97E-03,-1.80E-03,-9.32E-04,1.37E+00
908,1.91E-03,-1.91E-03,-8.37E-04,1.35E+00
909,1.92E-03,1.91E-03,-8.72E-04,1.31E+00
910,-2.70E-03,-8.50E-04,1.95E-04,3.37E+00
911,1.23E-04,5.06E-04,2.79E-03,4.27E+00
912,2.11E-03,1.34E-03,-1.36E-03,1.59E+00
913,2.19E-03,1.32E-03,-1.24E-03,1.47E+00
914,2.22E-03,1.19E-03,-1.32E-03,1.52E+00
915,2.11E-03,1.46E-03,-1.22E-03,1.48E+00
916,-2.58E-03,-6.27E-04,9.91E-04,4.97E+00
917,-2.07E-03,1.45E-03,-1.31E-03,2.44E+00
918,1.34E-03,-2.06E-03,-1.40E-03,1.90E+00
919,-2.44E-03,3.59E-04,1.41E-03,6.13E+00
920,-2.17E-03,-4.75E-04,1.76E-03,7.45E+00
921,-8.39E-04,-4.75E-04,2.67E-03,6.68E+00
922,-1.59E-03,4.24E-04,2.31E-03,9.72E+00
923,-4.85E-04,-5.05E-04,2.75E-03,3.60E+00
924,1.72E-04,-3.63E-04,2.81E-03,3.74E+00
925,1.14E-04,-5.58E-04,2.78E-03,3.56E+00
926,-4.88E-04,6.71E-04,2.72E-03,2.50E+00
927,1.60E-04,2.23E-04,2.83E-03,3.83E+00
928,-1.45E-03,-4.16E-04,2.40E-03,9.24E+00
929,1.79E-03,-2.02E-03,-8.35E-04,1.46E+00
930,-2.02E-03,-5.30E-04,1.92E-03,8.13E+00
931,2.38E-04,4.95E-05,2.83E-03,4.61E+00
932,1.23E-03,-2.06E-03,-1.49E-03,1.90E+00
933,1.09E-03,-2.12E-03,-1.51E-03,1.87E+00
934,-2.45E-03,8.69E-05,-1.42E-03,5.11E-01
935,-2.43E-03,2.21E-04,-1.45E-03,6.69E-01
936,1.46E-03,-2.18E-03,-1.04E-03,1.89E+00
937,1.56E-03,-2.15E-03,-9.57E-04,1.76E+00
938,1.45E-03,-2.25E-03,-9.12E-04,1.88E+00
939,1.32E-04,6.83E-04,2.75E-03,5.12E+00
940,-1.35E-03,5.40E-04,2.44E-03,9.75E+00
941,-2.20E-03,-1.35E-03,-1.15E-03,2.39E+00
942,1.68E-03,-2.04E-03,-9.88E-04,1.66E+00
943,1.68E-03,1.86E-03,-1.35E-03,1.75E+00
944,-2.14E-03,1.26E-03,-1.38E-03,2.25E+00
945,1.83E-03,2.04E-03,-7.74E-04,1.36E+00
946,-2.33E-03,-6.19E-04,1.49E-03,6.56E+00
947,1.07E-03,-2.24E-03,-1.34E-03,1.99E+00
948,-2.57E-03,1.05E-03,-6.07E-04,2.20E+00
949,1.60E-03,2.08E-03,-1.11E-03,1.71E+00
950,-1.59E-03,-2.94E-04,2.33E-03,9.19E+00
951,-2.26E-03,-1.38E-03,-9.92E-04,2.40E+00
952,1.45E-03,-2.06E-03,-1.28E-03,1.88E+00
953,1.43E-03,-2.14E-03,-1.16E-03,1.91E+00
954,-2.34E-03,4.59E-04,1.54E-03,6.68E+00
955,-2.68E-03,-6.27E-04,6.70E-04,4.21E+00
956,-2.55E-03,-1.11E-03,-5.19E-04,2.44E+00
957,1.97E-03,1.49E-03,-1.40E-03,1.66E+00
958,1.86E-03,-1.78E-03,-1.17E-03,1.62E+00
959,-1.49E-03,5.80E-04,2.35E-03,9.99E+00
960,1.57E-03,2.00E-03,-1.29E-03,1.79E+00
961,1.70E-03,-1.93E-03,-1.16E-03,1.72E+00
962,1.56E-03,-2.07E-03,-1.13E-03,1.81E+00
963,1.38E-03,-2.26E-03,-9.87E-04,1.95E+00
964,-2.64E-03,1.05E-03,-9.86E-05,2.78E+00
965,-2.65E-03,-5.73E-04,8.25E-04,4.55E+00
966,-9.68E-04,4.27E-04,2.64E-03,7.47E+00
967,1.25E-03,-2.26E-03,-1.15E-03,2.04E+00
968,-2.64E-03,-9.50E-04,3.60E-04,3.73E+00
969,2.14E-03,1.55E-03,-1.05E-03,1.30E+00
970,-1.21E-03,5.08E-04,2.52E-03,9.23E+00
971,-1.09E-03,5.10E-04,2.57E-03,8.61E+00
972,-1.35E-03,-5.21E-04,2.44E-03,9.44E+00
973,2.74E-04,-5.17E-04,2.77E-03,5.51E+00
974,1.35E-03,-2.22E-03,-1.10E-03,1.96E+00
975,1.60E-03,2.17E-03,-9.36E-04,1.66E+00
976,1.91E-03,-1.98E-03,-6.64E-04,1.25E+00
977,-7.12E-05,-5.94E-04,2.77E-03,1.42E+00
978,-2.13E-03,-1.12E-03,-1.49E-03,1.98E+00
979,-1.87E-03,-4.90E-04,2.07E-03,8.76E+00
980,2.13E-03,1.18E-03,-1.47E-03,1.62E+00
981,2.06E-03,-1.35E-03,-1.40E-03,1.70E+00
982,2.19E-03,-1.30E-03,-1.23E-03,1.55E+00
983,2.08E-03,-1.49E-03,-1.21E-03,1.56E+00
984,2.61E-04,-6.83E-04,2.74E-03,5.97E+00
985,-3.06E-04,5.91E-04,2.76E-03,7.71E-01
986,-9.51E-04,-5.54E-04,2.61E-03,7.65E+00
987,1.95E-03,-1.62E-03,-1.26E-03,1.66E+00
988,1.94E-03,-1.51E-03,-1.40E-03,1.75E+00
989,-2.08E-03,-1.43E-03,-1.28E-03,2.45E+00
990,1.46E-03,2.11E-03,-1.23E-03,1.85E+00
991,1.29E-03,2.19E-03,-1.29E-03,1.94E+00
992,1.36E-03,2.22E-03,-1.15E-03,1.90E+00
993,-2.68E-03,9.50E-04,7.18E-06,2.92E+00
994,1.65E-03,-2.15E-03,-8.11E-04,1.62E+00
995,-1.23E-03,-5.69E-04,2.49E-03,9.24E+00
996,-2.02E-03,-1.61E-03,-1.16E-03,2.59E+00
997,-1.92E-03,-1.56E-03,-1.36E-03,2.61E+00
998,-1.71E-03,-4.14E-04,2.23E-03,9.14E+00
999,-2.14E-03,6.02E-04,1.76E-03,7.64E+00
1000,1.80E-03,-1.67E-03,-1.41E-03,1.77E+00
1001,5.87E-05,-7.62E-04,2.73E-03,3.87E+00
1002,-2.38E-03,-4.40E-04,-1.48E-03,7.63E-01
1003,-2.46E-03,-2.13E-04,-1.40E-03,5.58E-01
1004,-2.38E-03,7.95E-05,-1.55E-03,3.98E-01
1005,2.14E-03,-1.17E-03,-1.43E-03,1.65E+00
1006,1.21E-03,2.30E-03,-1.16E-03,2.00E+00
1007,1.58E-03,-1.95E-03,-1.31E-03,1.83E+00
1008,2.02E-03,-1.24E-03,-1.55E-03,1.74E+00
1009,1.01E-04,3.64E-04,2.81E-03,3.58E+00
1010,-2.47E-03,6.74E-04,1.22E-03,5.66E+00
1011,-2.22E-03,-6.33E-04,1.65E-03,7.17E+00
1012,-2.66E-03,9.89E-04,1.89E-04,3.28E+00
1013,-2.61E-03,8.74E-04,6.91E-04,4.29E+00
1014,-2.63E-03,1.02E-03,3.78E-04,3.61E+00
1015,1.67E-03,1.75E-03,-1.50E-03,1.81E+00
1016,-2.57E-03,8.37E-04,8.75E-04,4.70E+00
1017,-2.49E-03,-7.81E-04,1.11E-03,5.34E+00
1018,-1.13E-03,6.47E-04,2.52E-03,9.21E+00
1019,-2.04E-04,7.26E-04,2.74E-03,2.07E+00
1020,-7.92E-04,-6.32E-04,2.65E-03,6.59E+00
1021,-2.65E-03,-7.73E-04,6.30E-04,4.15E+00
1022,-4.34E-05,7.89E-04,2.73E-03,3.96E+00
1023,-2.76E-04,-6.10E-04,2.75E-03,1.64E+00
1024,-2.23E-03,5.43E-04,1.67E-03,7.21E+00
1025,2.03E-03,-1.66E-03,-1.07E-03,1.47E+00
1026,-2.44E-03,-7.38E-04,1.24E-03,5.74E+00
1027,2.29E-03,1.22E-03,-1.17E-03,1.38E+00
1028,2.22E-03,1.38E-03,-1.11E-03,1.34E+00
1029,2.03E-03,1.31E-03,-1.49E-03,1.70E+00
1030,-6.64E-04,7.27E-04,2.67E-03,4.80E+00
1031,2.24E-03,1.03E-03,-1.42E-03,1.50E+00
1032,1.48E-03,2.19E-03,-1.06E-03,1.81E+00
1033,9.26E-04,-2.22E-03,-1.48E-03,1.89E+00
1034,-2.62E-03,-1.08E-03,1.26E-05,3.12E+00
1035,-1.64E-03,6.13E-04,2.24E-03,9.89E+00
1036,-2.32E-03,-1.41E-03,-8.01E-04,2.38E+00
1037,1.14E-03,-2.29E-03,-1.21E-03,2.05E+00
1038,1.46E-03,-1.94E-03,-1.45E-03,1.88E+00
1039,1.35E-03,2.29E-03,-1.02E-03,1.91E+00
1040,-2.27E-03,1.49E-03,-8.53E-04,2.38E+00
1041,-2.34E-03,5.50E-04,-1.52E-03,1.16E+00
1042,1.19E-03,-2.01E-03,-1.60E-03,1.83E+00
1043,3.17E-04,5.79E-04,2.76E-03,6.56E+00
1044,-1.26E-03,6.42E-04,2.47E-03,9.81E+00
1045,2.21E-03,-1.40E-03,-1.08E-03,1.41E+00
1046,1.47E-03,2.26E-03,-9.24E-04,1.79E+00
1047,1.70E-03,2.15E-03,-7.75E-04,1.51E+00
1048,-2.65E-03,-8.58E-04,5.08E-04,3.96E+00
1049,-2.08E-03,7.28E-04,1.79E-03,7.86E+00
1050,-2.11E-03,-6.38E-04,1.78E-03,7.69E+00
1051,-2.63E-03,-1.03E-03,1.93E-04,3.42E+00
1052,3.01E-04,-2.47E-04,2.81E-03,5.39E+00
1053,2.05E-03,-1.81E-03,-7.24E-04,1.14E+00
1054,-2.41E-03,5.78E-04,1.39E-03,6.18E+00
1055,1.06E-03,2.28E-03,-1.34E-03,2.01E+00
1056,2.63E-04,-8.95E-04,2.67E-03,6.83E+00
1057,1.52E-03,-2.24E-03,-7.99E-04,1.77E+00
1058,-2.41E-03,-1.36E-03,-6.00E-04,2.46E+00
1059,-2.16E-03,1.58E-03,-9.51E-04,2.46E+00
1060,3.73E-04,-3.93E-04,2.78E-03,6.43E+00
1061,-1.92E-03,1.55E-03,-1.42E-03,2.62E+00
1062,-1.78E-03,1.61E-03,-1.54E-03,2.70E+00
1063,-1.88E-03,1.47E-03,-1.55E-03,2.57E+00
1064,-2.00E-03,1.39E-03,-1.47E-03,2.42E+00
1065,2.11E-03,-1.67E-03,-8.64E-04,1.22E+00
1066,-1.79E-03,6.54E-04,2.11E-03,9.40E+00
1067,-2.15E-03,-1.51E-03,-1.05E-03,2.49E+00
1068,-2.49E-03,-1.25E-03,-5.02E-04,2.50E+00
1069,-2.59E-03,-1.12E-03,-1.90E-04,2.84E+00
1070,-1.36E-04,-7.52E-04,2.73E-03,2.02E+00
1071,-2.53E-03,7.64E-04,1.05E-03,5.16E+00
1072,-2.46E-03,1.28E-03,-6.46E-04,2.34E+00
1073,1.41E-03,2.05E-03,-1.38E-03,1.89E+00
1074,-1.44E-03,-5.99E-04,2.36E-03,9.70E+00
1075,-9.80E-04,6.16E-04,2.59E-03,8.08E+00
1076,9.35E-04,-2.12E-03,-1.61E-03,1.76E+00
1077,2.92E-04,3.90E-04,2.80E-03,5.76E+00
1078,-2.34E-03,-6.77E-04,-1.45E-03,1.21E+00
1079,-2.38E-03,3.81E-04,-1.50E-03,9.13E-01
1080,-1.07E-03,-6.60E-04,2.54E-03,8.74E+00
1081,-2.35E-03,-7.66E-04,1.38E-03,6.20E+00
1082,-1.36E-03,7.08E-04,2.39E-03,1.02E+01
1083,-2.33E-03,2.40E-04,-1.60E-03,6.34E-01
1084,1.34E-03,-2.33E-03,-8.78E-04,1.99E+00
1085,-2.19E-03,1.07E-03,-1.47E-03,2.01E+00
1086,1.96E-03,1.96E-03,-6.47E-04,1.17E+00
1087,-1.58E-03,-5.10E-04,2.30E-03,9.42E+00
1088,-6.12E-04,-6.72E-04,2.68E-03,4.95E+00
1089,-2.35E-03,1.42E-03,-7.45E-04,2.36E+00
1090,4.05E-04,-7.71E-04,2.70E-03,7.97E+00
1091,-1.97E-03,1.62E-03,-1.26E-03,2.64E+00
1092,-2.37E-03,1.45E-03,-6.06E-04,2.42E+00
1093,-2.28E-03,1.56E-03,-6.77E-04,2.40E+00
1094,-2.55E-03,1.19E-03,-3.99E-04,2.50E+00
1095,1.71E-03,-1.83E-03,-1.31E-03,1.77E+00
1096,-2.06E-03,-1.04E-03,-1.64E-03,1.88E+00
1097,-1.99E-03,-1.18E-03,-1.63E-03,2.13E+00
1098,2.12E-03,1.04E-03,-1.59E-03,1.57E+00
1099,1.81E-03,1.63E-03,-1.47E-03,1.77E+00
1100,1.80E-03,2.12E-03,-6.07E-04,1.33E+00
1101,-1.89E-03,-1.73E-03,-1.20E-03,2.70E+00
1102,-2.24E-03,6.58E-04,-1.61E-03,1.34E+00
1103,1.74E-03,-2.13E-03,-6.25E-04,1.41E+00
1104,-1.93E-03,7.34E-04,1.95E-03,8.66E+00
1105,2.33E-03,1.05E-03,-1.25E-03,1.41E+00
1106,2.23E-03,8.26E-04,-1.55E-03,1.35E+00
1107,-2.00E-03,-7.40E-04,1.86E-03,8.06E+00
1108,2.16E-03,-1.54E-03,-9.82E-04,1.32E+00
1109,-2.53E-03,-1.21E-03,-3.59E-04,2.63E+00
1110,1.26E-03,-2.32E-03,-1.01E-03,2.05E+00
1111,2.08E-03,1.78E-03,-7.83E-04,1.12E+00
1112,1.42E-03,-2.31E-03,-8.04E-04,1.90E+00
1113,2.18E-03,1.61E-03,-8.79E-04,1.12E+00
1114,-2.19E-03,-8.91E-04,-1.56E-03,1.56E+00
1115,-1.80E-03,-1.72E-03,-1.35E-03,2.78E+00
1116,1.33E-03,-1.97E-03,-1.54E-03,1.87E+00
1117,3.70E-04,2.07E-04,2.81E-03,6.35E+00
1118,-2.61E-03,1.13E-03,6.37E-05,3.10E+00
1119,3.50E-04,-9.80E-05,2.81E-03,5.90E+00
1120,1.58E-04,8.70E-04,2.70E-03,6.31E+00
1121,4.49E-04,-5.85E-04,2.74E-03,7.62E+00
1122,2.38E-03,9.97E-05,-1.55E-03,3.61E-01
1123,2.45E-03,2.10E-04,-1.42E-03,5.08E-01
1124,2.47E-03,5.33E-05,-1.40E-03,4.28E-01
1125,2.29E-03,-1.13E-03,-1.22E-03,1.52E+00
1126,-2.20E-03,7.28E-04,1.65E-03,7.25E+00
1127,-2.02E-03,-1.34E-03,-1.47E-03,2.32E+00
1128,2.42E-03,-9.88E-05,-1.47E-03,5.12E-01
1129,1.80E-03,-1.51E-03,-1.58E-03,1.83E+00
1130,9.80E-04,2.18E-03,-1.54E-03,1.89E+00
1131,8.37E-04,2.30E-03,-1.46E-03,1.94E+00
1132,-2.07E-03,-1.65E-03,-1.00E-03,2.54E+00
1133,-2.22E-03,-1.50E-03,-8.96E-04,2.46E+00
1134,-2.07E-03,1.66E-03,-1.02E-03,2.54E+00
1135,2.35E-03,8.65E-04,-1.34E-03,1.34E+00
1136,-2.58E-03,-1.03E-03,5.36E-04,4.09E+00
1137,-2.41E-03,-5.71E-05,-1.49E-03,3.67E-01
1138,-2.22E-03,8.70E-04,-1.54E-03,1.69E+00
1139,-2.34E-03,-2.35E-04,-1.58E-03,3.54E-01
1140,1.90E-03,-2.04E-03,-4.58E-04,1.15E+00
1141,1.61E-03,-1.79E-03,-1.48E-03,1.84E+00
1142,1.50E-03,1.90E-03,-1.49E-03,1.86E+00
1143,3.35E-04,7.62E-04,2.72E-03,7.28E+00
1144,-2.61E-03,-7.56E-04,8.03E-04,4.56E+00
1145,1.06E-03,-2.05E-03,-1.63E-03,1.78E+00
1146,-2.57E-03,1.21E-03,-1.44E-04,2.83E+00
1147,1.19E-03,2.13E-03,-1.46E-03,1.94E+00
1148,4.63E-04,5.02E-04,2.76E-03,7.77E+00
1149,-1.52E-03,7.92E-04,2.27E-03,1.01E+01
1150,-9.30E-05,-9.17E-04,2.68E-03,3.59E+00
1151,1.92E-03,1.35E-03,-1.60E-03,1.76E+00
1152,-2.11E-03,-8.08E-04,1.71E-03,7.53E+00
1153,-1.92E-03,1.31E-03,-1.64E-03,2.39E+00
1154,1.91E-03,2.07E-03,-4.36E-04,1.18E+00
1155,-2.24E-03,-6.25E-04,-1.62E-03,1.05E+00
1156,8.43E-05,-9.84E-04,2.65E-03,5.67E+00
1157,-1.33E-03,-6.53E-04,2.42E-03,9.56E+00
1158,-1.79E-03,1.74E-03,-1.36E-03,2.78E+00
1159,-1.21E-03,7.89E-04,2.45E-03,9.89E+00
1160,-2.05E-03,1.19E-03,-1.57E-03,2.20E+00
1161,-5.49E-04,8.73E-04,2.65E-03,4.07E+00
1162,-2.26E-03,4.28E-04,-1.66E-03,9.46E-01
1163,-2.47E-03,9.78E-04,1.00E-03,5.11E+00
1164,-8.50E-04,7.76E-04,2.60E-03,7.30E+00
1165,-2.59E-03,1.15E-03,2.67E-04,3.46E+00
1166,-2.54E-03,-8.15E-04,9.60E-04,5.00E+00
1167,-1.84E-03,-2.07E-03,5.49E-04,4.69E+00
1168,1.84E-03,2.16E-03,-2.43E-04,1.15E+00
1169,1.99E-03,2.02E-03,-2.69E-04,1.05E+00
1170,1.92E-03,-1.37E-03,-1.56E-03,1.80E+00
1171,4.14E-04,4.68E-05,2.81E-03,6.78E+00
1172,2.36E-03,2.66E-04,-1.56E-03,5.25E-01
1173,2.40E-03,4.18E-04,-1.46E-03,7.92E-01
1174,2.32E-03,-1.24E-03,-1.04E-03,1.37E+00
1175,1.01E-03,-2.36E-03,-1.19E-03,2.13E+00
1176,-3.01E-04,-8.46E-04,2.69E-03,2.55E+00
1177,1.83E-03,1.49E-03,-1.58E-03,1.81E+00
1178,1.36E-03,2.37E-03,-8.09E-04,1.90E+00
1179,7.90E-04,-2.19E-03,-1.60E-03,1.71E+00
1180,1.03E-03,2.40E-03,-1.14E-03,2.14E+00
1181,-3.63E-04,7.77E-04,2.71E-03,2.07E+00
1182,-1.86E-03,-1.47E-03,-1.54E-03,2.56E+00
1183,-1.67E-03,1.74E-03,-1.51E-03,2.85E+00
1184,-1.97E-03,-1.75E-03,-1.02E-03,2.57E+00
1185,-2.24E-04,8.78E-04,2.69E-03,3.08E+00
1186,-4.41E-04,-7.03E-04,2.71E-03,3.36E+00
1187,-2.24E-03,-7.88E-04,1.54E-03,6.85E+00
1188,6.06E-04,-2.76E-03,2.24E-05,6.38E+00
1189,5.33E-04,-2.76E-03,2.01E-04,7.25E+00
1190,1.52E-03,1.75E-03,-1.65E-03,1.87E+00
1191,-2.25E-03,-4.21E-04,-1.67E-03,6.17E-01
1192,1.81E-03,2.20E-03,-7.04E-05,1.09E+00
1193,1.93E-03,2.10E-03,-9.67E-05,1.05E+00
1194,-1.04E-03,8.06E-04,2.52E-03,9.02E+00
1195,-2.32E-03,1.56E-03,-5.07E-04,2.40E+00
1196,1.20E-03,2.40E-03,-9.72E-04,2.07E+00
1197,-2.56E-03,1.08E-03,5.86E-04,4.11E+00
1198,2.28E-03,-9.98E-04,-1.35E-03,1.56E+00
1199,2.19E-03,-9.77E-04,-1.51E-03,1.61E+00
1200,-1.72E-03,-6.49E-04,2.16E-03,9.24E+00
1201,-2.43E-03,1.40E-03,-4.49E-04,2.45E+00
1202,8.66E-04,-2.48E-03,1.04E-03,4.91E+00
1203,-2.30E-03,6.87E-04,1.52E-03,6.74E+00
1204,-2.29E-03,1.11E-04,-1.66E-03,4.01E-01
1205,2.38E-03,6.54E-04,-1.41E-03,1.13E+00
1206,2.06E-03,-1.04E-03,-1.65E-03,1.66E+00
1207,2.01E-03,1.20E-03,-1.61E-03,1.71E+00
1208,1.77E-03,-2.16E-03,-3.99E-04,1.25E+00
1209,1.55E-03,2.26E-03,-7.71E-04,1.68E+00
1210,-2.31E-03,-1.52E-03,-6.20E-04,2.42E+00
1211,-1.74E-03,-1.62E-03,-1.53E-03,2.73E+00
1212,1.32E-03,-2.38E-03,-7.49E-04,2.02E+00
1213,1.57E-03,-2.26E-03,-6.48E-04,1.66E+00
1214,-7.55E-04,-2.66E-03,-5.51E-04,6.76E+00
1215,1.87E-03,-2.10E-03,-2.54E-04,1.04E+00
1216,7.74E-04,-2.29E-03,-1.45E-03,1.89E+00
1217,-9.13E-04,-7.56E-04,2.57E-03,7.97E+00
1218,2.27E-03,5.86E-04,-1.60E-03,1.02E+00
1219,-4.14E-05,9.79E-04,2.67E-03,5.10E+00
1220,2.42E-03,-2.81E-04,-1.44E-03,7.61E-01
1221,2.37E-03,-3.78E-04,-1.51E-03,8.96E-01
1222,2.33E-03,-2.38E-04,-1.59E-03,6.58E-01
1223,2.33E-03,-5.32E-04,-1.52E-03,1.14E+00
1224,2.46E-03,-4.48E-04,-1.33E-03,1.03E+00
1225,1.65E-03,2.25E-03,-5.93E-04,1.50E+00
1226,-2.23E-03,-1.57E-03,-7.49E-04,2.40E+00
1227,2.26E-03,2.02E-04,-1.71E-03,4.00E-01
1228,2.28E-03,-8.43E-04,-1.45E-03,1.49E+00
1229,8.86E-04,-2.34E-03,-1.32E-03,2.05E+00
1230,7.17E-04,-2.72E-03,2.08E-04,5.62E+00
1231,2.43E-03,9.11E-04,-1.15E-03,1.30E+00
1232,-2.52E-03,1.04E-03,8.00E-04,4.62E+00
1233,-1.58E-03,-1.99E-03,1.24E-03,8.03E+00
1234,-1.74E-03,-1.90E-03,1.17E-03,7.84E+00
1235,-2.39E-03,-8.99E-04,1.23E-03,5.80E+00
1236,-1.89E-03,-6.91E-04,2.00E-03,8.62E+00
1237,2.16E-03,-8.21E-04,-1.64E-03,1.48E+00
1238,-7.57E-04,-1.86E-03,1.99E-03,1.07E+01
1239,3.37E-04,-1.05E-03,2.61E-03,7.98E+00
1240,2.10E-04,-1.05E-03,2.62E-03,7.16E+00
1241,8.63E-04,2.40E-03,-1.27E-03,2.14E+00
1242,-2.59E-03,-9.12E-04,6.76E-04,4.31E+00
1243,-2.02E-03,8.88E-04,1.79E-03,8.03E+00
1244,-1.67E-03,7.66E-04,2.16E-03,9.78E+00
1245,2.52E-03,3.02E-04,-1.28E-03,7.13E-01
1246,4.81E-04,-9.42E-04,2.63E-03,8.75E+00
1247,-2.13E-03,8.46E-04,1.68E-03,7.51E+00
1248,1.08E-04,-2.81E-03,-2.09E-04,7.48E+00
1249,3.09E-04,-2.79E-03,-3.10E-04,6.60E+00
1250,6.59E-04,2.41E-03,-1.37E-03,2.05E+00
1251,6.51E-04,2.27E-03,-1.59E-03,1.77E+00
1252,7.99E-04,-2.07E-03,-1.75E-03,1.57E+00
1253,-2.43E-03,-1.39E-03,-3.80E-04,2.61E+00
1254,-1.35E-03,-1.94E-03,1.56E-03,9.67E+00
1255,-1.52E-03,-1.80E-03,1.56E-03,9.19E+00
1256,-1.48E-03,-1.96E-03,1.41E-03,9.08E+00
1257,2.52E-03,-5.82E-05,-1.29E-03,5.84E-01
1258,-1.62E-03,1.88E-03,-1.40E-03,2.93E+00
1259,-1.52E-03,1.81E-03,-1.58E-03,2.89E+00
1260,2.24E-03,-1.54E-03,-7.86E-04,1.09E+00
1261,6.55E-04,-2.26E-03,-1.56E-03,1.70E+00
1262,2.28E-03,-1.41E-03,-8.99E-04,1.20E+00
1263,-1.66E-03,-1.83E-03,1.37E-03,8.37E+00
1264,-1.16E-04,-2.78E-03,-4.87E-04,7.53E+00
1265,-6.91E-05,-2.81E-03,-3.00E-04,7.51E+00
1266,1.12E-04,-2.79E-03,-4.29E-04,6.54E+00
1267,1.29E-03,2.00E-03,-1.56E-03,1.90E+00
1268,-1.36E-03,-1.79E-03,1.72E-03,9.69E+00
1269,-1.66E-03,-2.29E-03,-5.51E-05,1.77E+00
1270,-1.19E-03,-7.79E-04,2.45E-03,9.48E+00
1271,2.28E-03,3.96E-04,-1.65E-03,7.07E-01
1272,3.61E-04,9.50E-04,2.65E-03,8.18E+00
1273,-2.56E-03,-1.20E-03,1.71E-04,3.38E+00
1274,-2.42E-03,8.90E-04,1.19E-03,5.68E+00
1275,-2.53E-03,-1.26E-03,-1.32E-05,3.10E+00
1276,4.09E-05,-2.37E-03,-1.54E-03,1.69E+00
1277,-4.39E-06,-2.25E-03,-1.71E-03,1.29E+00
1278,1.99E-04,-2.30E-03,-1.63E-03,1.33E+00
1279,4.63E-04,-2.37E-04,2.79E-03,7.33E+00
1280,2.28E-03,-6.95E-04,-1.54E-03,1.35E+00
1281,2.27E-03,-3.90E-04,-1.65E-03,8.86E-01
1282,-2.07E-03,1.74E-03,-8.83E-04,2.51E+00
1283,-1.18E-04,-2.34E-03,-1.57E-03,1.85E+00
1284,-2.01E-03,1.67E-03,-1.12E-03,2.65E+00
1285,1.13E-03,-2.36E-03,-1.07E-03,2.12E+00
1286,-1.39E-03,-1.87E-03,-1.61E-03,2.95E+00
1287,-1.31E-03,-2.02E-03,-1.48E-03,3.06E+00
1288,-1.49E-03,-1.92E-03,-1.44E-03,2.98E+00
1289,-2.56E-03,-1.15E-03,3.79E-04,3.81E+00
1290,-2.49E-03,-1.33E-03,-1.93E-04,2.84E+00
1291,-2.46E-03,-9.54E-04,1.03E-03,5.24E+00
1292,1.75E-03,2.21E-03,-4.09E-04,1.31E+00
1293,-2.36E-03,7.95E-04,1.36E-03,6.24E+00
1294,2.20E-03,-5.86E-04,-1.68E-03,1.18E+00
1295,2.28E-03,-3.48E-05,-1.69E-03,3.36E-01
1296,2.27E-03,1.42E-03,-9.45E-04,1.16E+00
1297,1.44E-03,-2.33E-03,-6.78E-04,1.85E+00
1298,-1.99E-03,-8.85E-04,1.81E-03,8.02E+00
1299,2.49E-03,5.05E-04,-1.26E-03,9.76E-01
1300,-1.76E-03,-1.85E-03,-1.23E-03,2.81E+00
1301,-2.18E-03,1.66E-03,-7.73E-04,2.38E+00
1302,2.07E-03,8.97E-04,-1.73E-03,1.47E+00
1303,-2.35E-03,-1.49E-03,-4.81E-04,2.47E+00
1304,2.39E-03,1.09E-03,-1.08E-03,1.30E+00
1305,-1.21E-03,-1.95E-03,-1.65E-03,2.97E+00
1306,-2.14E-03,-1.62E-03,-8.76E-04,2.47E+00
1307,2.03E-03,-1.91E-03,-4.91E-04,1.04E+00
1308,-1.03E-03,-8.26E-04,2.50E-03,9.03E+00
1309,-1.55E-03,-6.81E-04,2.28E-03,9.64E+00
1310,-7.30E-04,-8.30E-04,2.61E-03,6.41E+00
1311,-2.54E-03,1.28E-03,2.74E-05,3.10E+00
1312,2.39E-03,-6.84E-04,-1.36E-03,1.31E+00
1313,1.43E-03,-1.83E-03,-1.60E-03,1.86E+00
1314,-2.12E-03,7.76E-04,-1.72E-03,1.58E+00
1315,2.34E-03,1.26E-03,-1.01E-03,1.24E+00
1316,-1.88E-03,-1.32E-03,-1.65E-03,2.38E+00
1317,-1.78E-03,8.42E-04,2.05E-03,9.29E+00
1318,1.28E-03,-1.88E-03,-1.68E-03,1.82E+00
1319,-1.66E-03,-1.80E-03,-1.41E-03,2.86E+00
1320,2.47E-03,7.13E-04,-1.21E-03,1.18E+00
